ds,y
2019-01-01,101.49
2019-02-01,102.09
2019-03-01,106.94
2019-04-01,112.07
2019-05-01,109.3
2019-06-01,111.8
2019-07-01,119.74
2019-08-01,119.8
2019-09-01,118.59
2019-10-01,124.13
2019-11-01,123.61
2019-12-01,126.1
2020-01-01,130.73
2020-02-01,126.76
2020-03-01,129.83
2020-04-01,135.81
2020-05-01,136.96
2020-06-01,143.44
2020-07-01,142.28
2020-08-01,143.26
2020-09-01,154.4
2020-10-01,151.82
2020-11-01,155.2
2020-12-01,153.23
2021-01-01,158.37
2021-02-01,162.83
2021-03-01,161.55
2021-04-01,168.63
2021-05-01,168.2
2021-06-01,171.62
2021-07-01,175.29
2021-08-01,173.41
2021-09-01,163.89
2021-10-01,160.52
2021-11-01,155.82
2021-12-01,148.11
2022-01-01,148.89
2022-02-01,144.28
2022-03-01,139.02
2022-04-01,133.8
2022-05-01,125.75
2022-06-01,124.24
2022-07-01,119.97
2022-08-01,114.09
2022-09-01,111.52
2022-10-01,108.71
2022-11-01,108.66
2022-12-01,99.02
2023-01-01,94.77
2023-02-01,89.28
2023-03-01,79.24
2023-04-01,80.42
2023-05-01,76.18
2023-06-01,78.89
2023-07-01,66.42
2023-08-01,63.4
2023-09-01,57.9
2023-10-01,49.99
2023-11-01,52.43
2023-12-01,46.76
