ds,y
2024-01-01 00:00:00,94.75
2024-01-01 01:00:00,85.74
2024-01-01 02:00:00,103.11
2024-01-01 03:00:00,91.84
2024-01-01 04:00:00,111.02
2024-01-01 05:00:00,129.08
2024-01-01 06:00:00,119.06
2024-01-01 07:00:00,130.66
2024-01-01 08:00:00,143.1
2024-01-01 09:00:00,146.73
2024-01-01 10:00:00,146.01
2024-01-01 11:00:00,159.22
2024-01-01 12:00:00,153.63
2024-01-01 13:00:00,161.65
2024-01-01 14:00:00,149.79
2024-01-01 15:00:00,159.05
2024-01-01 16:00:00,137.8
2024-01-01 17:00:00,132.13
2024-01-01 18:00:00,129.88
2024-01-01 19:00:00,108.56
2024-01-01 20:00:00,108.86
2024-01-01 21:00:00,108.09
2024-01-01 22:00:00,85.04
2024-01-01 23:00:00,92.3
2024-01-02 00:00:00,91.56
2024-01-02 01:00:00,95.88
2024-01-02 02:00:00,87.27
2024-01-02 03:00:00,92.33
2024-01-02 04:00:00,110.63
2024-01-02 05:00:00,117.72
2024-01-02 06:00:00,126.5
2024-01-02 07:00:00,136.14
2024-01-02 08:00:00,138.42
2024-01-02 09:00:00,151.14
2024-01-02 10:00:00,157.07
2024-01-02 11:00:00,154.52
2024-01-02 12:00:00,171.19
2024-01-02 13:00:00,161.65
2024-01-02 14:00:00,148.16
2024-01-02 15:00:00,153.69
2024-01-02 16:00:00,136.65
2024-01-02 17:00:00,138.78
2024-01-02 18:00:00,131.95
2024-01-02 19:00:00,111.02
2024-01-02 20:00:00,113.28
2024-01-02 21:00:00,102.73
2024-01-02 22:00:00,99.62
2024-01-02 23:00:00,102.57
2024-01-03 00:00:00,88.53
2024-01-03 01:00:00,86.67
2024-01-03 02:00:00,89.35
2024-01-03 03:00:00,95.36
2024-01-03 04:00:00,107.04
2024-01-03 05:00:00,117.99
2024-01-03 06:00:00,126.66
2024-01-03 07:00:00,139.02
2024-01-03 08:00:00,142.58
2024-01-03 09:00:00,158.47
2024-01-03 10:00:00,153.72
2024-01-03 11:00:00,175.13
2024-01-03 12:00:00,163.75
2024-01-03 13:00:00,153.66
2024-01-03 14:00:00,148.89
2024-01-03 15:00:00,152.64
2024-01-03 16:00:00,141.16
2024-01-03 17:00:00,138.34
2024-01-03 18:00:00,127.84
2024-01-03 19:00:00,115.5
2024-01-03 20:00:00,102.42
2024-01-03 21:00:00,91.16
2024-01-03 22:00:00,92.01
2024-01-03 23:00:00,96.33
2024-01-04 00:00:00,91.28
2024-01-04 01:00:00,83.72
2024-01-04 02:00:00,95.73
2024-01-04 03:00:00,102.56
2024-01-04 04:00:00,102.2
2024-01-04 05:00:00,116.86
2024-01-04 06:00:00,125.35
2024-01-04 07:00:00,127.2
2024-01-04 08:00:00,144.65
2024-01-04 09:00:00,153.11
2024-01-04 10:00:00,161.81
2024-01-04 11:00:00,165.13
2024-01-04 12:00:00,151.73
2024-01-04 13:00:00,153.18
2024-01-04 14:00:00,158.4
2024-01-04 15:00:00,152.83
2024-01-04 16:00:00,145.59
2024-01-04 17:00:00,157.18
2024-01-04 18:00:00,128.43
2024-01-04 19:00:00,122.75
2024-01-04 20:00:00,113.22
2024-01-04 21:00:00,104.16
2024-01-04 22:00:00,92.8
2024-01-04 23:00:00,95.75
2024-01-05 00:00:00,85.36
2024-01-05 01:00:00,89.77
2024-01-05 02:00:00,91.78
2024-01-05 03:00:00,100.74
2024-01-05 04:00:00,121.39
2024-01-05 05:00:00,104.74
2024-01-05 06:00:00,129.12
2024-01-05 07:00:00,124.38
2024-01-05 08:00:00,139.67
2024-01-05 09:00:00,156.28
2024-01-05 10:00:00,155.7
2024-01-05 11:00:00,152.34
2024-01-05 12:00:00,155.71
2024-01-05 13:00:00,162.88
2024-01-05 14:00:00,150.93
2024-01-05 15:00:00,151.05
2024-01-05 16:00:00,142.77
2024-01-05 17:00:00,130.15
2024-01-05 18:00:00,137.86
2024-01-05 19:00:00,119.74
2024-01-05 20:00:00,95.35
2024-01-05 21:00:00,101.37
2024-01-05 22:00:00,90.72
2024-01-05 23:00:00,96.31
2024-01-06 00:00:00,35.24
2024-01-06 01:00:00,40.5
2024-01-06 02:00:00,47.72
2024-01-06 03:00:00,55.45
2024-01-06 04:00:00,50.3
2024-01-06 05:00:00,63.93
2024-01-06 06:00:00,72.15
2024-01-06 07:00:00,80.14
2024-01-06 08:00:00,103.09
2024-01-06 09:00:00,102.18
2024-01-06 10:00:00,97.75
2024-01-06 11:00:00,114.31
2024-01-06 12:00:00,122.73
2024-01-06 13:00:00,115.0
2024-01-06 14:00:00,96.19
2024-01-06 15:00:00,96.84
2024-01-06 16:00:00,100.1
2024-01-06 17:00:00,79.81
2024-01-06 18:00:00,77.66
2024-01-06 19:00:00,70.59
2024-01-06 20:00:00,51.94
2024-01-06 21:00:00,49.89
2024-01-06 22:00:00,25.24
2024-01-06 23:00:00,35.05
2024-01-07 00:00:00,38.48
2024-01-07 01:00:00,33.71
2024-01-07 02:00:00,54.48
2024-01-07 03:00:00,41.67
2024-01-07 04:00:00,54.86
2024-01-07 05:00:00,66.73
2024-01-07 06:00:00,83.65
2024-01-07 07:00:00,75.44
2024-01-07 08:00:00,99.48
2024-01-07 09:00:00,99.81
2024-01-07 10:00:00,99.42
2024-01-07 11:00:00,111.58
2024-01-07 12:00:00,111.19
2024-01-07 13:00:00,105.21
2024-01-07 14:00:00,105.73
2024-01-07 15:00:00,97.44
2024-01-07 16:00:00,93.18
2024-01-07 17:00:00,88.03
2024-01-07 18:00:00,84.52
2024-01-07 19:00:00,58.51
2024-01-07 20:00:00,70.3
2024-01-07 21:00:00,38.54
2024-01-07 22:00:00,43.78
2024-01-07 23:00:00,44.72
2024-01-08 00:00:00,91.69
2024-01-08 01:00:00,87.46
2024-01-08 02:00:00,93.44
2024-01-08 03:00:00,97.29
2024-01-08 04:00:00,103.96
2024-01-08 05:00:00,121.04
2024-01-08 06:00:00,127.14
2024-01-08 07:00:00,129.9
2024-01-08 08:00:00,147.9
2024-01-08 09:00:00,151.59
2024-01-08 10:00:00,160.19
2024-01-08 11:00:00,162.59
2024-01-08 12:00:00,155.03
2024-01-08 13:00:00,155.45
2024-01-08 14:00:00,159.79
2024-01-08 15:00:00,153.41
2024-01-08 16:00:00,142.37
2024-01-08 17:00:00,134.76
2024-01-08 18:00:00,132.67
2024-01-08 19:00:00,112.39
2024-01-08 20:00:00,110.78
2024-01-08 21:00:00,99.04
2024-01-08 22:00:00,93.38
2024-01-08 23:00:00,97.79
2024-01-09 00:00:00,94.95
2024-01-09 01:00:00,96.07
2024-01-09 02:00:00,102.52
2024-01-09 03:00:00,100.38
2024-01-09 04:00:00,111.59
2024-01-09 05:00:00,114.08
2024-01-09 06:00:00,126.94
2024-01-09 07:00:00,133.28
2024-01-09 08:00:00,143.08
2024-01-09 09:00:00,153.32
2024-01-09 10:00:00,150.4
2024-01-09 11:00:00,171.36
2024-01-09 12:00:00,153.96
2024-01-09 13:00:00,151.52
2024-01-09 14:00:00,162.26
2024-01-09 15:00:00,154.5
2024-01-09 16:00:00,146.24
2024-01-09 17:00:00,137.83
2024-01-09 18:00:00,124.93
2024-01-09 19:00:00,110.56
2024-01-09 20:00:00,107.95
2024-01-09 21:00:00,96.19
2024-01-09 22:00:00,100.54
2024-01-09 23:00:00,90.31
2024-01-10 00:00:00,85.05
2024-01-10 01:00:00,89.26
2024-01-10 02:00:00,97.17
2024-01-10 03:00:00,96.87
2024-01-10 04:00:00,102.57
2024-01-10 05:00:00,117.4
2024-01-10 06:00:00,126.47
2024-01-10 07:00:00,131.02
2024-01-10 08:00:00,139.67
2024-01-10 09:00:00,151.14
2024-01-10 10:00:00,146.62
2024-01-10 11:00:00,150.36
2024-01-10 12:00:00,155.69
2024-01-10 13:00:00,157.53
2024-01-10 14:00:00,157.18
2024-01-10 15:00:00,158.6
2024-01-10 16:00:00,147.65
2024-01-10 17:00:00,133.1
2024-01-10 18:00:00,124.89
2024-01-10 19:00:00,109.93
2024-01-10 20:00:00,107.39
2024-01-10 21:00:00,98.52
2024-01-10 22:00:00,96.63
2024-01-10 23:00:00,86.23
2024-01-11 00:00:00,93.12
2024-01-11 01:00:00,100.39
2024-01-11 02:00:00,94.04
2024-01-11 03:00:00,102.66
2024-01-11 04:00:00,111.64
2024-01-11 05:00:00,113.53
2024-01-11 06:00:00,126.34
2024-01-11 07:00:00,134.13
2024-01-11 08:00:00,143.09
2024-01-11 09:00:00,145.11
2024-01-11 10:00:00,155.46
2024-01-11 11:00:00,161.8
2024-01-11 12:00:00,168.71
2024-01-11 13:00:00,164.56
2024-01-11 14:00:00,168.23
2024-01-11 15:00:00,145.14
2024-01-11 16:00:00,147.73
2024-01-11 17:00:00,135.16
2024-01-11 18:00:00,138.14
2024-01-11 19:00:00,111.09
2024-01-11 20:00:00,102.46
2024-01-11 21:00:00,96.65
2024-01-11 22:00:00,81.95
2024-01-11 23:00:00,88.04
2024-01-12 00:00:00,85.45
2024-01-12 01:00:00,92.09
2024-01-12 02:00:00,96.74
2024-01-12 03:00:00,111.51
2024-01-12 04:00:00,113.2
2024-01-12 05:00:00,112.48
2024-01-12 06:00:00,119.61
2024-01-12 07:00:00,137.01
2024-01-12 08:00:00,134.58
2024-01-12 09:00:00,160.74
2024-01-12 10:00:00,162.39
2024-01-12 11:00:00,155.99
2024-01-12 12:00:00,149.72
2024-01-12 13:00:00,166.93
2024-01-12 14:00:00,154.62
2024-01-12 15:00:00,157.18
2024-01-12 16:00:00,132.93
2024-01-12 17:00:00,130.46
2024-01-12 18:00:00,125.03
2024-01-12 19:00:00,116.22
2024-01-12 20:00:00,104.8
2024-01-12 21:00:00,103.99
2024-01-12 22:00:00,88.28
2024-01-12 23:00:00,90.34
2024-01-13 00:00:00,40.72
2024-01-13 01:00:00,44.28
2024-01-13 02:00:00,48.96
2024-01-13 03:00:00,43.5
2024-01-13 04:00:00,48.3
2024-01-13 05:00:00,73.61
2024-01-13 06:00:00,76.99
2024-01-13 07:00:00,79.57
2024-01-13 08:00:00,101.81
2024-01-13 09:00:00,100.44
2024-01-13 10:00:00,112.39
2024-01-13 11:00:00,109.21
2024-01-13 12:00:00,122.36
2024-01-13 13:00:00,119.34
2024-01-13 14:00:00,103.82
2024-01-13 15:00:00,105.58
2024-01-13 16:00:00,96.37
2024-01-13 17:00:00,92.27
2024-01-13 18:00:00,69.21
2024-01-13 19:00:00,70.06
2024-01-13 20:00:00,63.85
2024-01-13 21:00:00,39.7
2024-01-13 22:00:00,37.59
2024-01-13 23:00:00,28.96
2024-01-14 00:00:00,38.38
2024-01-14 01:00:00,45.5
2024-01-14 02:00:00,53.7
2024-01-14 03:00:00,50.7
2024-01-14 04:00:00,67.27
2024-01-14 05:00:00,57.66
2024-01-14 06:00:00,64.78
2024-01-14 07:00:00,83.73
2024-01-14 08:00:00,94.8
2024-01-14 09:00:00,99.55
2024-01-14 10:00:00,92.91
2024-01-14 11:00:00,108.27
2024-01-14 12:00:00,102.17
2024-01-14 13:00:00,112.83
2024-01-14 14:00:00,107.51
2024-01-14 15:00:00,94.11
2024-01-14 16:00:00,89.42
2024-01-14 17:00:00,77.7
2024-01-14 18:00:00,74.62
2024-01-14 19:00:00,71.67
2024-01-14 20:00:00,51.59
2024-01-14 21:00:00,53.28
2024-01-14 22:00:00,41.51
2024-01-14 23:00:00,36.44
