ds,y
2019-01-01,199.46
2019-02-01,216.82
2019-03-01,235.87
2019-04-01,240.01
2019-05-01,252.46
2019-06-01,375.92
2019-07-01,208.5
2019-08-01,195.07
2019-09-01,180.8
2019-10-01,176.9
2019-11-01,188.43
2019-12-01,205.79
2020-01-01,221.35
2020-02-01,243.12
2020-03-01,261.27
2020-04-01,87.96
2020-05-01,259.07
2020-06-01,260.83
2020-07-01,244.22
2020-08-01,216.75
2020-09-01,208.24
2020-10-01,203.56
2020-11-01,224.75
2020-12-01,231.6
2021-01-01,247.36
2021-02-01,265.22
2021-03-01,278.61
2021-04-01,449.45
2021-05-01,286.86
2021-06-01,270.89
2021-07-01,256.77
2021-08-01,236.59
2021-09-01,237.79
2021-10-01,230.41
2021-11-01,233.32
2021-12-01,257.4
2022-01-01,272.39
2022-02-01,289.69
2022-03-01,318.26
2022-04-01,320.69
2022-05-01,309.45
2022-06-01,131.99
2022-07-01,279.62
2022-08-01,259.09
2022-09-01,257.99
2022-10-01,259.55
2022-11-01,250.37
2022-12-01,276.81
2023-01-01,292.75
2023-02-01,315.56
2023-03-01,331.68
2023-04-01,337.68
2023-05-01,338.88
2023-06-01,321.85
2023-07-01,309.35
2023-08-01,437.47
2023-09-01,276.16
2023-10-01,269.46
2023-11-01,278.48
2023-12-01,301.78
2024-01-01,322.5
2024-02-01,337.11
2024-03-01,359.14
2024-04-01,369.76
2024-05-01,354.29
2024-06-01,352.72
2024-07-01,328.69
2024-08-01,152.8
2024-09-01,297.54
2024-10-01,288.98
2024-11-01,297.22
2024-12-01,322.24
