ds,y
2019-01-01,297.39
2019-02-01,319.19
2019-03-01,329.87
2019-06-01,322.69
2019-07-01,312.34
2019-08-01,288.48
2019-09-01,283.81
2019-10-01,284.27
2019-11-01,274.8
2019-12-01,295.81
2020-04-01,355.08
2020-05-01,354.66
2020-06-01,342.38
2020-07-01,331.67
2020-08-01,312.02
2020-09-01,301.04
2020-10-01,294.85
2020-11-01,300.74
2020-12-01,315.27
2021-01-01,337.58
2021-02-01,353.32
2021-03-01,370.47
2021-04-01,383.8
2021-05-01,375.8
2021-08-01,327.37
2021-09-01,309.54
2021-10-01,310.47
2021-11-01,313.21
2021-12-01,333.59
2022-01-01,354.07
2022-02-01,379.71
2022-03-01,388.62
2022-04-01,392.62
2022-05-01,393.63
2022-06-01,370.16
2022-07-01,363.94
2022-08-01,350.08
2022-09-01,329.77
2022-12-01,351.34
2023-01-01,374.53
2023-02-01,400.08
2023-03-01,406.04
2023-04-01,412.49
2023-05-01,406.47
2023-06-01,393.6
2023-07-01,384.32
2023-08-01,361.58
2023-09-01,353.98
2023-10-01,348.59
2023-11-01,358.61
2023-12-01,372.33
2024-01-01,394.15
2024-04-01,425.58
2024-05-01,424.53
2024-06-01,416.51
2024-07-01,402.03
2024-08-01,379.31
2024-09-01,375.17
2024-10-01,373.92
2024-11-01,376.34
2024-12-01,396.51
