ds,y
2014-01-01,293.23
2014-02-01,327.62
2014-03-01,337.01
2014-04-01,342.79
2014-05-01,336.59
2014-06-01,320.88
2014-07-01,312.29
2014-08-01,290.79
2014-09-01,272.2
2014-10-01,268.32
2014-11-01,279.02
2014-12-01,303.18
2015-01-01,316.96
2015-02-01,333.49
2015-03-01,354.66
2015-04-01,361.41
2015-05-01,347.85
2015-06-01,345.28
2015-07-01,326.08
2015-08-01,311.28
2015-09-01,302.75
2015-10-01,296.01
2015-11-01,297.28
2015-12-01,310.07
2016-01-01,346.29
2016-02-01,357.74
2016-03-01,373.7
2016-04-01,380.4
2016-05-01,377.43
2016-06-01,362.92
2016-07-01,342.71
2016-08-01,324.31
2016-09-01,313.23
2016-10-01,307.33
2016-11-01,313.51
2016-12-01,332.93
2017-01-01,352.98
2017-02-01,381.52
2017-03-01,381.04
2017-04-01,402.87
2017-05-01,399.63
2017-06-01,373.21
2017-07-01,361.63
2017-08-01,343.01
2017-09-01,325.73
2017-10-01,324.39
2017-11-01,329.92
2017-12-01,357.51
2018-01-01,375.74
2018-02-01,398.59
2018-03-01,412.53
2018-04-01,411.98
2018-05-01,410.54
2018-06-01,401.46
2018-07-01,376.11
2018-08-01,365.35
2018-09-01,348.4
2018-10-01,344.0
2018-11-01,355.2
2018-12-01,370.28
2019-01-01,388.56
2019-02-01,416.14
2019-03-01,423.32
2019-04-01,436.96
2019-05-01,433.01
2019-06-01,416.26
2019-07-01,400.3
2019-08-01,375.5
2019-09-01,371.06
2019-10-01,362.76
2019-11-01,368.27
2019-12-01,390.7
2020-01-01,405.18
2020-02-01,423.87
2020-03-01,439.41
2020-04-01,454.92
2020-05-01,443.52
2020-06-01,442.52
2020-07-01,408.67
2020-08-01,405.29
2020-09-01,386.2
2020-10-01,381.11
2020-11-01,386.18
2020-12-01,406.1
2021-01-01,425.85
2021-02-01,451.91
2021-03-01,464.1
2021-04-01,471.1
2021-05-01,465.19
2021-06-01,453.27
2021-07-01,436.23
2021-08-01,409.66
2021-09-01,397.97
2021-10-01,402.47
2021-11-01,407.04
2021-12-01,421.76
2022-01-01,444.07
2022-02-01,466.89
2022-03-01,479.48
2022-04-01,485.39
2022-05-01,485.42
2022-06-01,467.59
2022-07-01,454.63
2022-08-01,427.69
2022-09-01,425.48
2022-10-01,419.39
2022-11-01,425.38
2022-12-01,444.43
2023-01-01,468.66
2023-02-01,487.56
2023-03-01,492.28
2023-04-01,501.38
2023-05-01,500.14
2023-06-01,489.6
2023-07-01,473.07
2023-08-01,449.6
2023-09-01,440.11
2023-10-01,432.48
2023-11-01,439.91
2023-12-01,452.87
